League,Season,Team,Squad,Average Age,Non-Homegrown,Squad Value,Avg Player Value,GD,Points,Position
EPL,2008,Chelsea FC,28,25.6,21,406.7,14.53,44,83,3
EPL,2008,Manchester United,31,24.3,20,356.1,11.49,44,90,1
EPL,2008,Liverpool FC,28,23.9,24,257.23,9.19,50,86,2
EPL,2008,Arsenal FC,38,21.3,30,250.85,6.6,31,72,4
EPL,2008,Tottenham Hotspur,35,22.5,18,212.6,6.07,0,51,8
EPL,2008,Manchester City,32,24,20,206.8,6.46,8,50,10
EPL,2008,Everton FC,28,24.4,15,162.55,5.81,18,63,5
EPL,2008,Newcastle United,32,24.8,20,134.95,4.22,-19,34,18
EPL,2008,Portsmouth FC,31,26.8,19,131.5,4.24,-19,41,14
EPL,2008,Aston Villa,21,25.4,8,111.8,5.32,6,62,6
EPL,2008,Sunderland AFC,31,24.9,21,91.28,2.94,-20,36,16
EPL,2008,Blackburn Rovers,26,26.4,21,86.75,3.34,-20,41,15
EPL,2008,Bolton Wanderers,30,25.2,19,84.7,2.82,-12,41,13
EPL,2008,West Ham United,26,24.3,14,80.55,3.1,-3,51,9
EPL,2008,Middlesbrough FC,30,22.3,13,73.65,2.46,-29,32,19
EPL,2008,Fulham FC,32,25.3,20,73.1,2.28,5,53,7
EPL,2008,West Bromwich Albion,30,24.6,21,64.05,2.14,-31,32,20
EPL,2008,Wigan Athletic,25,25.7,18,61.6,2.46,-11,45,11
EPL,2008,Stoke City,29,26.6,15,49.7,1.71,-17,45,12
EPL,2008,Hull City,27,27.2,12,38.63,1.43,-25,35,17
EPL,2009,Chelsea FC,33,25.5,24,443.9,13.45,71,86,1
EPL,2009,Manchester United,33,25,22,362.95,11,58,85,2
EPL,2009,Liverpool FC,30,24.4,24,336.6,11.22,26,63,7
EPL,2009,Manchester City,40,24.1,24,314.9,7.87,28,67,5
EPL,2009,Arsenal FC,45,21.7,31,281,6.24,42,75,3
EPL,2009,Tottenham Hotspur,41,23.3,20,249.2,6.08,26,70,4
EPL,2009,Everton FC,42,23.1,23,221.55,5.28,11,61,8
EPL,2009,Aston Villa,31,25.5,13,160.4,5.17,13,64,6
EPL,2009,Sunderland AFC,38,24.5,26,131.7,3.47,-8,44,13
EPL,2009,West Ham United,35,23.8,19,118.3,3.38,-19,35,17
EPL,2009,Portsmouth FC,45,25.4,29,99.85,2.22,-32,19,20
EPL,2009,Fulham FC,42,25.3,28,92.8,2.21,-7,46,12
EPL,2009,Blackburn Rovers,35,25.3,29,90.3,2.58,-14,50,10
EPL,2009,Bolton Wanderers,32,25.3,18,85.33,2.67,-25,39,14
EPL,2009,Stoke City,37,25.9,18,76.8,2.08,-14,47,11
EPL,2009,Hull City,37,26,23,75.65,2.04,-41,30,19
